Obs,Cod_Item,Situacao_Item_Pedido,CodGrupoEstoque,Condicao_Pagamento,% Margem F brica Ped
1,3001071101,1,80,56,0.1751
2,3003081118,1,80,56,0.322
3,3209703030,1,85,56,0.2963
4,3001052901,1,80,40,0.362
5,3001071101,1,80,40,0.1751
6,3003081118,1,80,40,0.3426
7,3005008310,1,80,40,0.3476
8,3005030001,1,80,40,0.4232
9,3005030015,1,80,40,0.3899
10,3005090960,1,85,40,0.3482
11,3009005790,1,85,40,0.4039
12,3009015078,1,85,40,0.4537
13,3009018007,1,85,40,0.3608
14,3009035508,1,85,40,0.2586
15,3009036007,1,85,40,0.4545
16,3089005013,1,85,40,0.4133
17,3089007513,1,85,40,0.4133
18,3141046017,1,80,40,0.4019
19,3201596730,1,80,40,0.3948
20,3209703030,1,85,40,0.3174
21,6035000613,1,86,40,0.5
22,6080205010,1,86,40,0.4488
23,6080303510,1,86,40,0.4536
24,6145000440,1,81,40,0.3485
25,6164000530,1,81,40,0.5031
26,6164001599,1,81,40,0.5743
27,6502186101,1,86,40,0.3714
28,6506986110,1,86,40,0.4382
29,6508049130,1,86,40,0.4779
30,6508086110,1,86,40,0.3839
31,6508286110,1,86,40,0.3771
32,14010001000,1,80,40,0.5402
33,14020030232,1,85,40,0.4303
34,3001070615,1,80,56,0.2406
35,3001071101,1,80,56,0.1704
36,3001071115,1,80,56,0.1237
37,3001077617,1,80,56,0.2168
38,3001083017,1,80,56,0.2663
39,3002070617,1,80,56,0.3622
40,3002077617,1,80,56,0.1502
41,3002081115,1,80,56,0.183
42,3002081118,1,80,56,0.2083
43,3002083017,1,80,56,0.2549
44,3003070615,1,80,56,0.3101
45,3003070617,1,80,56,0.3549
46,3003077617,1,80,56,0.146
47,3003081115,1,80,56,0.1695
48,3003081118,1,80,56,0.2001
49,3003083017,1,80,56,0.2455
50,3009023016,1,85,56,0.1687
51,3021094092,1,80,56,0.1738
52,3022064092,1,80,56,0.3099
53,3023064092,1,80,56,0.2441
54,3002070615,0,80,56,1
55,6065004130,1,86,30,0.307
56,6065004230,1,86,30,0.2846
57,6065004330,1,86,30,0.2891
58,3001071157,1,80,56,0.2838
59,3003081157,1,80,56,0.2952
60,3009023016,1,85,56,0.1215
61,3009008515,1,85,49,0.3971
62,3005018001,1,80,42,0.2675
63,3909009701,1,80,42,0.5406
64,3909009715,1,80,42,0.5443
65,3001071101,1,80,56,0.1793
66,3209703030,1,85,56,0.3574
67,6080205010,1,86,56,0.4654
68,6080305010,1,86,56,0.4705
69,3001052901,1,80,56,0.2239
70,3001071101,1,80,56,0.0318
71,3001075015,1,80,56,0.2649
72,3001079515,1,80,56,0.2858
73,3009023107,1,85,56,0.3096
74,3009038016,1,85,56,0.334
75,3089005013,1,85,56,-0.002
76,3089007513,1,85,56,0.0033
77,3089105013,1,85,56,0.0758
78,3089107513,1,85,56,0
79,3209703030,1,85,56,0.3053
80,6003046113,1,86,56,0.4529
81,6003046213,1,86,56,0.4637
82,6003046313,1,86,56,0.4676
83,6080203510,1,86,56,0.3882
84,6080205010,1,86,56,0.3859
85,6080207510,1,86,56,0.4296
86,6080303510,1,86,56,0.3913
87,6080305010,1,86,56,0.3917
88,6080307510,1,86,56,0.4367
89,3009034401,0,80,56,1
90,3001071101,1,80,56,0.1793
91,3905015190,1,80,90,0.3812
92,3009034501,1,80,52,5,0.1952
93,3009023107,1,85,60,0.2721
94,3009024191,1,85,60,0.3004
95,3001071101,1,80,63,0.1577
96,3009023107,1,85,63,0.3356
97,3009023507,1,85,63,0.2765
98,3001071101,1,80,35,0.3147
99,3002081118,1,80,35,0.3461
100,3003081118,1,80,35,0.3393
101,3909020090,1,80,35,0.3323
102,3001052018,1,80,21,0.3212
103,3001052901,1,80,21,0.2951
104,3001070015,1,80,21,0.2655
105,3001070615,1,80,21,0.3306
106,3001070617,1,80,21,0.4069
107,3001070915,1,80,21,0.2762
108,3001070917,1,80,21,0.3493
109,3001071101,1,80,21,0.2906
110,3001071157,1,80,21,0.2553
111,3001075015,1,80,21,0.3451
112,3001075017,1,80,21,0.3835
113,3003070015,1,80,21,0.2689
114,3003070615,1,80,21,0.3919
115,3003075015,1,80,21,0.3955
116,3003081118,1,80,21,0.3163
117,3003081157,1,80,21,0.2676
118,3009023016,1,85,21,0.1606
119,3009023507,1,85,21,0.2541
120,3021094092,1,80,21,0.2936
121,3023064092,1,80,21,0.3535
122,3001071101,1,80,90,0.135
123,3002081118,1,80,90,0.2689
124,3002081318,1,80,90,0.2419
125,3003081118,1,80,90,0.2613
126,3005009635,1,80,90,0.28
127,6035000613,1,86,90,0.4442
128,6040000113,1,81,90,0.3989
129,6080203510,1,86,90,0.3146
130,6080205010,1,86,90,0.3212
131,6080303510,1,86,90,0.3243
132,6080305010,1,86,90,0.32
133,6145000428,1,81,90,0.3015
134,6145000433,1,81,90,0.3015
135,6145000440,1,81,90,0.3015
136,3001071101,1,80,60,0.1375
137,3009007001,1,85,60,0.2891
138,3009023016,1,85,60,0.1353
139,3009023507,1,85,60,0.1942
140,3009038016,1,85,60,0.2643
141,3201725030,1,80,60,0.0444
142,3209703030,1,85,60,0.2328
143,3502701635,1,80,60,0.4138
144,3502701735,1,80,60,0.4622
145,3502701935,1,80,60,0.4169
146,3505700174,1,80,60,0.0197
147,3505700274,1,80,60,0.0367
148,6702006801,1,86,60,0.3387
149,3043084317,1,80,56,0.4286
150,3141084317,1,80,56,0.3995
151,3001079517,1,80,56,0.5004
152,3009034201,1,85,56,0.3235
153,3001052018,1,80,60,0.3304
154,3001055501,1,80,60,0.3618
155,3001055515,1,80,60,0.3073
156,3001070817,1,80,60,0.4458
157,3001071101,1,80,60,0.1793
158,3001075015,1,80,60,0.3921
159,3001113315,1,80,60,0.3936
160,3002081118,1,80,60,0.3324
161,3003081118,1,80,60,0.3255
162,3005030001,1,80,60,0.4261
163,3005030015,1,80,60,0.3929
164,3005030901,1,80,60,0.3884
165,3009007001,1,85,60,0.3891
166,3009015071,1,85,60,0.473
167,3009015078,1,85,60,0.473
168,3009034201,1,85,60,0.3673
169,3141043234,1,80,60,0.4252
170,3141043934,1,80,60,0.399
171,3505030130,1,80,60,0.3874
172,3505030145,1,80,60,0.3626
173,6506986110,1,86,60,0.4577
174,14010001000,1,80,60,0.5424
175,14010078508,1,85,60,0.4455
176,14010178502,1,85,60,0.3836
177,14020030232,1,85,60,0.433
178,14030033000,1,80,63,0.2561
179,3001071101,1,80,49,0.2167
180,3001075015,1,80,49,0.4046
181,3001075017,1,80,49,0.4395
182,3001078215,1,80,49,0.5066
183,3001079517,1,80,49,0.4979
184,3003073617,1,80,49,0.3509
185,3003075015,1,80,49,0.4504
186,3003077317,1,80,49,0.4084
187,3009034201,1,85,49,0.3804
188,3141084217,1,80,49,0.4101
189,3141084417,1,80,49,0.4124
190,3001071101,1,80,49,0.2167
191,3002081118,1,80,49,0.326
192,3009023016,1,85,49,0.1215
193,3201596730,1,80,49,0.4101
194,3001071101,1,80,42,0.29
195,3001075015,1,80,42,0.3444
196,3002081118,1,80,42,0.3229
197,3003081118,1,80,42,0.3159
198,3009023107,1,85,42,0.3144
199,3001071101,1,80,42,0.0855
200,3021094092,1,80,42,0.1761
201,3022064092,1,80,42,0.4151
202,3201594130,1,80,42,0.3632
203,3209703030,1,85,42,0.2963
204,3209708030,1,85,42,0.3277
205,6035000613,1,86,42,0.4845
206,6044015930,1,81,42,0.4357
207,6065005591,1,86,42,0.3912
208,6080203510,1,86,42,0.4163
209,6080303510,1,86,42,0.4193
210,6080305010,1,86,42,0.4197
211,6508086110,1,86,42,0.3452
212,6508286110,1,86,42,0.338
213,3001070017,1,80,56,0.4227
214,3001070217,1,80,56,0.4282
215,3001071101,1,80,56,0.3594
216,3001075017,1,80,56,0.4432
217,3003081118,1,80,56,0.3826
218,3009023016,1,85,56,0.1215
219,3011073834,1,80,56,0.3919
220,3141043934,1,80,56,0.4153
221,3201725130,1,80,56,0.32
222,3209705738,1,85,56,0.6079
223,14010278502,1,85,56,0.4035
224,3001030791,1,80,56,0.3612
225,3001071101,1,80,56,0.0855
226,3209703030,1,85,56,0.2963
227,3209708030,1,85,56,0.3277
228,3209708130,1,85,56,0.464
229,6065004130,1,86,56,0.3294
230,6065004230,1,86,56,0.3077
231,6080203510,1,86,56,0.4163
232,6080205010,1,86,56,0.4142
233,6080303510,1,86,56,0.4193
234,6080305010,1,86,56,0.4197
235,14020030232,1,85,56,0.3945
236,3001070617,1,80,56,0.4414
237,3001071101,1,80,56,0.29
238,3002081118,1,80,56,0.3432
239,3003083215,1,80,56,0.3714
240,3021094092,1,80,56,0.3141
241,3022064092,1,80,56,0.4273
242,3023064092,1,80,56,0.3726
243,3905015190,1,80,75,0.3812
244,3001070015,1,80,51,33333333,0.3149
245,3001070617,1,80,51,33333333,0.4296
246,3001075017,1,80,51,33333333,0.4248
247,3001079517,1,80,51,33333333,0.485
248,3003070015,1,80,51,33333333,0.3183
249,3003070615,1,80,51,33333333,0.4152
250,3003070617,1,80,51,33333333,0.4532
251,3003075017,1,80,51,33333333,0.4246
252,3003081118,1,80,51,33333333,0.322
253,3141148790,1,80,51,33333333,0.3798
254,6080205010,1,86,51,33333333,0.4488
255,6080305010,1,86,51,33333333,0.454
256,3005006801,1,80,77,0.3424
257,3005018001,1,80,77,0.2849
258,3009040007,1,85,60,0.2619
259,14020053032,1,85,60,0.3233
260,3001070615,1,80,52,5,0.3563
261,3001075017,1,80,52,5,0.4222
262,3001077815,1,80,52,5,0.4117
263,3001077817,1,80,52,5,0.4603
264,3001078315,1,80,52,5,0.3911
265,3001083015,1,80,52,5,0.3449
266,3001091617,1,80,52,5,0.4668
267,3003073417,1,80,52,5,0.4385
268,3003080390,1,80,52,5,0.3818
269,3003081118,1,80,52,5,0.319
270,3003081515,1,80,52,5,0.3822
271,3003083015,1,80,52,5,0.3557
272,3009017590,1,85,52,5,0.4966
273,3009036091,1,85,52,5,0.4731
274,3011073134,1,80,52,5,0.3677
